phrase,prompt,demand_signal
sunday scaries,What do Sunday Scaries mean?,24000
sunday scaries,Are Sunday Scaries gummies legit?,24000
sunday scaries,How do I fight my Sunday Scaries?,24000
sunday scaries,How do I get rid of Sunday Scaries?,24000
sunday scaries,Is Sunday Scaries a hangover?,24000
main character syndrome,What is the main character syndrome in India?,700
main character syndrome,What is the Trump main character syndrome?,70
inbox zero,Is inbox zero free?,500
resignation letter,Can ChatGPT write my resignation letter?,139000
resignation letter,Is a resignation letter a notice?,5600
resignation letter,How do I mail a resignation letter?,600
resignation letter,What is a resignation letter?,450
resignation letter,How do I write a 1 day resignation letter?,30
